Help;Name;voivod 98;type;patronizium;laufzeit;signatur;scans_org;link;lat;lon;Woiwod2026;Relevanz Ditt;scans;Mehrfach
Czadrów_jeleniogórskie;Czadrów;jeleniogórskie;ewangelickie;;1569-1948;82/130/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88415#;50.7618611;16.05598;Dolnośląskie;1;0;1
Czarne_jeleniogórskie;Czarne;jeleniogórskie;ewangelicko-augsburskie;;1709 - 1947;83/118/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/86285#;50.8773;15.7465;Dolnośląskie;1;0;1
Czarnków_pilskie;Czarnków;pilskie;ewangelickie;;;kein Bestand;0;0;52.9048335;16.5629572;Wielkopolskie, Zachodniopomorskie;1;-1;1
Czarnków_pilskie;Czarnków;pilskie;ewangelickie;;1815 - 1874;53/3266/0;5380;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/18759#;52.9048335;16.5619572;Wielkopolskie, Zachodniopomorskie;1;5380;2
Czarnów_jeleniogórskie;Czarnów;jeleniogórskie;ewangelicko-augsburskie;;[1725 - 1879] 1879 - 1944;83/90/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/86257#;50.7972701;15.9071646;Dolnośląskie;1;0;1
Czechów_gorzowskie;Czechów;gorzowskie;ewangelicko-augsburskie;;[1666] 1879-1945;66/28/0;68637;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35445#;52.7288234;15.3155856;Lubuskie, Zachodniopomorskie;1;68637;1
Czempiń_poznańskie;Czempiń;poznańskie;ewangelicko-reformowane;miasto;1856 - 1874;53/3777/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/19308#;52.1429479;16.7603308;Wielkopolskie;1;0;1
Czerńczyce_wrocławskie;Czerńczyce;wrocławskie;ewangelickie;;1569-1948;82/130/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88415#;50.9710409;16.7578729;Dolnośląskie;1;0;1
Czerniejewo_poznańskie;Czerniejewo;poznańskie;ewangelickie;;1780 - 1874;53/3778/0;1572;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/19309#;52.4294119;17.488398;Wielkopolskie;1;1572;1
Czernina_leszczyńskie;Czernina;leszczyńskie;ewangelickie;;1569-1948;82/130/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88415#;51.7192186;16.614692;Wielkopolskie, Dolnośląskie;1;0;1
Czerwona Woda_jeleniogórskie;Czerwona Woda;jeleniogórskie;ewangelicko-augsburskie;;1396-1944;82/42/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88333#;51.2507987;15.208846;Dolnośląskie;1;0;1
Czerwony Kościół_legnickie;Czerwony Kościół;legnickie;ewangelicko-augsburskie;;1794 - 1874;85/24/0;6607;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/87045#;51.1884987;16.0598344;Dolnośląskie;1;6607;1
Czeska Wieś_opolskie;Czeska Wieś;opolskie;ewangelicko-augsburskie;;1794-1864;45/3590/0;197;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/76122#;50.7500947;17.4776409;Opolskie;1;197;1
Człopa_pilskie;Człopa;pilskie;ewangelicko-augsburskie;;[1721-1878] 1879-1945;26/112/0;1606;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/77658#;53.0882595;16.1191069;Wielkopolskie, Zachodniopomorskie;1;1606;1
Człopa_pilskie;Człopa;pilskie;ewangelicko-augsburskie;;1773-1834;26/829/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/78409#;53.0882595;16.1181069;Wielkopolskie, Zachodniopomorskie;1;0;2
Dąbrowa Biskupia_bydgoskie;Dąbrowa Biskupia;bydgoskie;ewangelickie;;1857 - 1874;7/494/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/144138#;52.7770943;18.5305563;Kujawsko-Pomorskie;1;0;1
Dąbrowica_jeleniogórskie;Dąbrowica;jeleniogórskie;ewangelicko-augsburskie;;1709 - 1947;83/118/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/86285#;51.2176061;17.215557;Dolnośląskie;1;0;1
