Help;Name;voivod 98;type;patronizium;laufzeit;signatur;scans;link;lat;lon;Woiwod2026;Relevanz Ditt
Gruczno_bydgoskie;Gruczno;bydgoskie;rzymskokatolickie;;1820-1874;6/267/0;338;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/144719#;53.3497386;18.3124434;Kujawsko-Pomorskie;1
Grudynia Wielka_opolskie;Grudynia Wielka;opolskie;rzymskokatolickie;;1800-1874;45/3250/0;2171;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/47706#;50.2372684;17.9511042;Opolskie;1
Grudza_jeleniogórskie;Grudza;jeleniogórskie;rzymskokatolickie;;;kein Bestand;0;0;50.94691;15.50827;Dolnośląskie;1
Gryfice_szczecińskie;Gryfice;szczecińskie;rzymskokatolickie;;;kein Bestand;0;0;53.9148529;15.1987062;Zachodniopomorskie,  Lubuskie;1
Gryfów Śląski_jeleniogórskie;Gryfów Śląski;jeleniogórskie;rzymskokatolickie;;;kein Bestand;0;0;51.0281455;15.4145051;Dolnośląskie;1
Grylewo_pilskie;Grylewo;pilskie;rzymskokatolickie;;1808 - 1874;53/3315/0;596;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/18832#;52.8913267;17.2299612;Wielkopolskie, Zachodniopomorskie;1
Gryżyna_leszczyńskie;Gryżyna;leszczyńskie;rzymskokatolickie;;;kein Bestand;0;0;52.0306459;16.7104981;Wielkopolskie, Dolnośląskie;1
Gryżyna_leszczyńskie;Gryżyna;leszczyńskie;rzymskokatolickie;;1808 - 1874;53/3316/0;1090;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/18833#;52.0306459;16.7104981;Wielkopolskie, Dolnośląskie;1
Grzędzin_opolskie;Grzędzin;opolskie;rzymskokatolickie;św. Piotra i Pawła;1800-1874;45/3251/0;5411;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/47707#;50.1878575;18.1135467;Opolskie;1
Grzędzin_opolskie;Grzędzin;opolskie;rzymskokatolickie;św. Piotra i Pawła;;kein Bestand;0;0;50.1878575;18.1135467;Opolskie;1
Grzybowo_poznańskie;Grzybowo;poznańskie;rzymskokatolickie;;1818 - 1874;53/3317/0;594;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/18834#;52.3692416;17.6443696;Wielkopolskie;1
Gułtowy_poznańskie;Gułtowy;poznańskie;rzymskokatolickie;;;kein Bestand;0;0;52.3510995;17.3295324;Wielkopolskie;1
Gułtowy_poznańskie;Gułtowy;poznańskie;rzymskokatolickie;;1818 - 1874;53/3318/0;646;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/18835#;52.3510995;17.3295324;Wielkopolskie;1
Gwizdanów_legnickie;Gwizdanów;legnickie;rzymskokatolickie;;;kein Bestand;0;0;51.5309704;16.2887254;Dolnośląskie;1
Hajduki Nyskie_opolskie;Hajduki Nyskie;opolskie;rzymskokatolickie;;1868-1871;45/3258/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/47714#;50.4271962;17.3627484;Opolskie;1
Hajduki Nyskie_opolskie;Hajduki Nyskie;opolskie;rzymskokatolickie;;;kein Bestand;0;0;50.4271962;17.3627484;Opolskie;1
Henryków_jeleniogórskie;Henryków;jeleniogórskie;rzymskokatolickie;;1725 - 1943;86/238/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/84500#;50.6537021;17.0103463;Dolnośląskie;1
Huta_wałbrzyskie;Huta;wałbrzyskie;rzymskokatolickie;;;kein Bestand;0;0;50.3289132;16.545148;Dolnośląskie;1
Ilnica_wrocławskie;Ilnica;wrocławskie;rzymskokatolickie;;;kein Bestand;0;0;51.1000419;16.7178946;Dolnośląskie;1
Iława_opolskie;Iława;opolskie;rzymskokatolickie;;;kein Bestand;0;0;50.4071399;17.302645;Opolskie;1
Iłówiec Wielki_poznańskie;Iłówiec Wielki;poznańskie;rzymskokatolickie;;;kein Bestand;0;0;52.1394751;16.8085739;Wielkopolskie;1
Imbramowice_wałbrzyskie;Imbramowice;wałbrzyskie;rzymskokatolickie;;;kein Bestand;0;0;50.9681976;16.5701234;Dolnośląskie;1
Imielno_poznańskie;Imielno;poznańskie;rzymskokatolickie;;1818 - 1874;53/3319/0;647;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/18836#;52.1422523;17.8552185;Wielkopolskie;1
Iwiny_legnickie;Iwiny;legnickie;rzymskokatolickie;;;kein Bestand;0;0;51.042315;17.0752148;Dolnośląskie;1
Iwiny_legnickie;Iwiny;legnickie;rzymskokatolickie;;;kein Bestand;0;0;51.042315;17.0752148;Dolnośląskie;1
Iwno_poznańskie;Iwno;poznańskie;rzymskokatolickie;;;kein Bestand;0;0;52.4040603;17.2724117;Wielkopolskie;1
Iwno_poznańskie;Iwno;poznańskie;rzymskokatolickie;;1818 - 1874;53/3320/0;863;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/18837#;52.4040603;17.2724117;Wielkopolskie;1
Izbica Kujawska_włocławskie;Izbica Kujawska;włocławskie;rzymskokatolickie;;;kein Bestand;0;0;52.41925;18.76435;Kujawsko-Pomorskie,  Wielkopolskie;1
Izbica Kujawska_włocławskie;Izbica Kujawska;włocławskie;rzymskokatolickie;;1710-1865;54/758/0;7534;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/22117#;52.41925;18.76435;Kujawsko-Pomorskie,  Wielkopolskie;1
Izbica Kujawska_włocławskie;Izbica Kujawska;włocławskie;rzymskokatolickie;;"1866-1923; 1930-1938";71/201/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/104472#;52.41925;18.76435;Kujawsko-Pomorskie,  Wielkopolskie;1
Jabłonowo Pomorskie_toruńskie;Jabłonowo Pomorskie;toruńskie;rzymskokatolickie;;1817-1874;69/1270/0;190;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/103524#;53.387984;19.1527034;Kujawsko-Pomorskie;1
Jabłonów_zielonogórskie;Jabłonów;zielonogórskie;rzymskokatolickie;;;kein Bestand;0;0;51.6817519;15.4090811;Lubuskie,  Dolnośląskie;1
Jabłonów_zielonogórskie;Jabłonów;zielonogórskie;rzymskokatolickie;;1658-1941;82/113/0;179;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88404#;51.6817519;15.4090811;Lubuskie,  Dolnośląskie;1
